"File","Path","Line","Kind","Name"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","425","assigned function","GRM_API.ValidateAllDates"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","450","assigned function","GRM_API.ReportAltGroupsOverLimit"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","503","assigned function","GRM_API.AddCustomRejoinEntry"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","521","assigned function","GRM_API.DetermineInterfaceRule"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","12","assigned function","chattynator.IsChattynatorLoaded"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","24","assigned function","chattynator.GetChattynatorTab"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","51","assigned function","chattynator.ConfigureChattynatorTab"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","74","assigned function","chattynator.ChattynatorReport"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","90","assigned function","chattynator.SetReportChannel"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","97","assigned function","chattynator.DisableChannel"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","121","assigned function","chattynator.EnableChannel"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","146","assigned function","chattynator.InitializeTabsForGRM"
